artist,album,track,uri
Kristen Bell,Frozen,"Love Is an Open Door - From ""Frozen""/Soundtrack Version",spotify:track:3IPnBzGRMg6BfViFxxa0Gq
Shawn Mendes,Illuminate,Treat You Better,spotify:track:1rtDwblY1CJ9i490fMzJnc
Miranda Lambert,Wildcard,Settling Down,spotify:track:53bZYxVbCYm6w1Gx8U64bz
Taylor Swift,Fearless (Taylor's Version),Fearless (Taylorâ€™s Version),spotify:track:77sMIMlNaSURUAXq5coCxE
Alan Walker,The Spectre,The Spectre,spotify:track:2DGa7iaidT5s0qnINlwMjJ
Ed Sheeran,Ã·,Perfect,spotify:track:0tgVpDi06FyKpA1z0VMD4v
Taylor Swift,folklore,the 1,spotify:track:0Jlcvv8IykzHaSmj49uNW8
Alessia Cara,I Choose,I Choose - From The Netflix Original Film The Willoughbys,spotify:track:13QIjo2iGBgl56mNDjJOet
Taylor Swift,Fearless (Taylor's Version),Thatâ€™s When (feat. Keith Urban) (Taylorâ€™s Version) (From The Vault),spotify:track:7eResoqEJJAVTkQYSqvO3P
CÃ©line Dion,Let's Talk About Love,Let's Talk About Love,spotify:track:1gVX2sJy1oFzylg4Ew3F2X
Shawn Mendes,Shawn Mendes,In My Blood,spotify:track:2QZ7WLBE8h2y1Y5Fb8RYbH
Harry Styles,Fine Line,Adore You,spotify:track:3jjujdWJ72nww5eGnfs2E7
CÃ©line Dion,Let's Talk About Love,Miles to Go (Before I Sleep),spotify:track:3Qq6BnuQjAx9XWY9G699Zj
Lady Gaga,A Star Is Born Soundtrack,I'll Never Love - Extended Version - Radio Edit,spotify:track:54e5nUP7pHqVfaiCsq9FpW
Idina Menzel,Frozen 2,Show Yourself,spotify:track:5JcHjigKoy1ABWwZhRmIGh
Justin Bieber,Purpose,Love Yourself,spotify:track:50kpGaPAhYJ3sGmk6vplg0
Taylor Swift,Fearless (Taylor's Version),Love Story (Taylorâ€™s Version),spotify:track:6YvqWjhGD8mB5QXcbcUKtx
Taylor Swift,evermore,evermore (feat. Bon Iver),spotify:track:3O5osWf1rSoKMwe6E9ZaXP
Shawn Mendes,Wonder,Look Up At The Stars,spotify:track:3XK7BaY0KkRnu7cpZlOZwI
Ariana Grande,Stuck with U,Stuck with U (with Justin Bieber),spotify:track:4HBZA5flZLE435QTztThqH
Lady Gaga,A Star Is Born Soundtrack,Always Remember Us This Way,spotify:track:2rbDhOo9Fh61Bbu23T2qCk
Taylor Swift,Taylor Swift,Our Song,spotify:track:1j6gmK6u4WNI33lMZ8dC1s
Taylor Swift,Fearless (Taylor's Version),Forever & Always (Taylorâ€™s Version),spotify:track:1msEuwSBneBKpVCZQcFTsU
Taylor Swift,Taylor Swift,Teardrops On My Guitar - Radio Single Remix,spotify:track:2TF4UtYreqNbQ6Z9AccldU
Phil Collins,Tarzan,Strangers Like Me,spotify:track:3T74kgnbHw8JqkYGJKD4Tl
CÃ©line Dion,Let's Talk About Love,Us,spotify:track:478lu5QbS9PdeK0jmEJzOY
Phil Collins,Tarzan,Son of Man,spotify:track:1LhFadk0aWYczltTjIbFlI
Billie Eilish,Happier Than Ever,Oxytocin,spotify:track:4t2OeILB07eMGTXSUbMPEu
Christina Perri,A Thousand Years,A Thousand Years,spotify:track:6lanRgr6wXibZr8KgzXxBl
Camila Cabello,Million To One,"Million To One - from the Amazon Original Movie ""Cinderella""",spotify:track:3lzYrD0WcgGFiAFKkB2shE
Justin Bieber,Purpose,No Pressure,spotify:track:23UV8pJEvRnAZd6ZAXBC0H
Ed Sheeran,+,Autumn Leaves - Deluxe Edition,spotify:track:7iBSkXB0pTvZasOLf0Qxk9
Alan Walker,Fake A Smile,Fake A Smile,spotify:track:6rAGFY9D3ah6Lb7fUgbNNH
Taylor Swift,Taylor Swift,Invisible,spotify:track:1k3PzDNjg38cWqOvL4M9vq
Taylor Swift,Red,Sad Beautiful Tragic,spotify:track:70e9zuv2pJc7ON1OUAJ1zl
Will Smith,Aladdin,Arabian Nights (2019),spotify:track:6ZxPYutGhjLTrcmvcshCa4
Alan Menken,Little Mermaid,"Main Titles - The Little Mermaid - From ""The Little Mermaid""/Score",spotify:track:09HBvmj0dUeQYHGbKJefR5
Billie Eilish,everything i wanted,everything i wanted,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ
Ed Sheeran,+,The A Team,spotify:track:1XpYodsD36XN7ygcdF7mJJ
Taylor Swift,Fearless (Taylor's Version),Fifteen (Taylorâ€™s Version),spotify:track:2nqio0SfWg6gh2eCtfuMa5
Phil Collins,Tarzan,Two Worlds,spotify:track:3icOFPIciIN8FQSyVlpYSF
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",bad guy,spotify:track:2Fxmhks0bxGSBdJ92vM42m
Taylor Swift,Red,State Of Grace,spotify:track:0b16LTzby1YRVd2nq2Z0fw
Taylor Swift,reputation,Dancing With Our Hands Tied,spotify:track:7I7JbDv63ZJJsSi24DyJrz
Taylor Swift,Lover,ME! (feat. Brendon Urie of Panic! At The Disco),spotify:track:2Rk4JlNc2TPmZe2af99d45
Kristen Bell,Frozen 2,The Next Right Thing,spotify:track:4MJycw2LwmR4tTMtchLw7Q
Shawn Mendes,Wonder,Canâ€™t Imagine,spotify:track:6aoE1FqaJCXEk5vdOChJRR
Taylor Swift,Lover,Death By A Thousand Cuts,spotify:track:2dgFqt3w9xIQRjhPtwNk3D
Lady Gaga,A Star Is Born Soundtrack,Shallow,spotify:track:2VxeLyX666F8uXCJ0dZF8B
Shawn Mendes,Illuminate,Mercy,spotify:track:0AS63m1wHv9n4VVRizK6Hc
Taylor Swift,folklore,mad woman,spotify:track:2QDyYdZyhlP2fp79KZX8Bi
Taylor Swift,evermore,champagne problems,spotify:track:0sY6ZUTh4yoctD8VIXz339
Shawn Mendes,Shawn Mendes,Nervous,spotify:track:5wxurz8J6YlyQRNnGN8zXS
Ed Sheeran,Bad Habits,Bad Habits,spotify:track:6PQ88X9TkUIAUIZJHW2upE
Justin Bieber,Purpose,No Sense,spotify:track:5L9WFUodzACitS1TiGm7Mi
CÃ©line Dion,Falling into You,Falling Into You,spotify:track:7KWMxUH7lORLTob6aMpXBU
Taylor Swift,evermore,evermore (feat. Bon Iver),spotify:track:0AaV4MJrgmLV3XhoiWXjjb
Taylor Swift,Lover,Cruel Summer,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr
CÃ©line Dion,Let's Talk About Love,Immortality (feat. Bee Gees),spotify:track:0HuNPrWCyZpCx59pu9ON99
Taylor Swift,Red,Stay Stay Stay,spotify:track:0F2S1QlnMaOfmNHIgmES3k
Alan Walker,Different World,Darkside,spotify:track:6SRWhUJcD2YKahCwHavz3X
CÃ©line Dion,Falling into You,Make You Happy,spotify:track:4YenwP7sh9N4jIb6YP7dEB
Shawn Mendes,Handwritten,A Little Too Much,spotify:track:1T7AiFL9ruKKwlONN35Vh0
Dua Lipa,Future Nostalgia,Don't Start Now,spotify:track:3PfIrDoz19wz7qK7tYeu62
CÃ©line Dion,A New Day Has Come,Have You Ever Been In Love,spotify:track:6EjH7ihkymLIS2Z235vN21
Taylor Swift,Fearless (Taylor's Version),Mr. Perfectly Fine (Taylorâ€™s Version) (From The Vault),spotify:track:2CYVETnhM9aytqrazYYwrK
Taylor Swift,Fearless (Taylor's Version),Breathe (feat. Colbie Caillat) (Taylorâ€™s Version),spotify:track:7HC7R2D8WjXVcUHJyEGjRs
CÃ©line Dion,Celine Dion,"Beauty and the Beast - from the Soundtrack ""Beauty and the Beast""",spotify:track:7B3UAPLYAbwXVgbHSKEaTw
Shawn Mendes,Handwritten,Stitches,spotify:track:3zkWCteF82vJwv0hRLba76
Taylor Swift,reputation,This Is Why We Can't Have Nice Things,spotify:track:07NxDD1iKCHbAldceD7QLP
Camila Cabello,Don't Go Yet,Don't Go Yet,spotify:track:1058fW9H3fZA6QjYCdOBad
Shawn Mendes,Wonder,Canâ€™t Take My Eyes Off You - BBC Live Version,spotify:track:1NMV6t8OE4Ax2NkZnfmV1W
Taylor Swift,folklore,exile (feat. Bon Iver),spotify:track:4pvb0WLRcMtbPGmtejJJ6y
Alan Menken,Tangled,"Kingdom Dance - From ""Tangled""/Score",spotify:track:0jkGkwy510cvhy0jYPFme4
Taylor Swift,evermore,willow,spotify:track:3Uo7WG0vmLQ07WB4BDwy7D
Peabo Bryson,Beauty and the Beast,"Beauty and the Beast - From ""Beauty and the Beast"" / Duet",spotify:track:1lb36bFPzVYUBER5QatHAY
Billie Eilish,Happier Than Ever,Your Power,spotify:track:042Sl6Mn83JHyLEqdK7uI0
Lady Gaga,The Fame Monster,Bad Romance,spotify:track:0SiywuOBRcynK0uKGWdCnn
Shawn Mendes,If I Can't Have You,If I Can't Have You,spotify:track:6LsAAHotRLMOHfCsSfYCsz
CÃ©line Dion,Falling into You,Seduces Me,spotify:track:2AOQu67ykWymbJyompxTJ2
Evan Rachel Wood,Frozen 2,All Is Found,spotify:track:1KkVYSqXosoiQmJmto0VAw
Kristen Bell,Frozen,"Do You Want to Build a Snowman? - From ""Frozen""/Soundtrack Version",spotify:track:2yi7HZrBOC4bMUSTcs4VK6
Shawn Mendes,Wonder,Monster (Shawn Mendes & Justin Bieber),spotify:track:1HbA4N1MiOsPthALesGFR1
Alan Walker,Different World,Faded,spotify:track:698ItKASDavgwZ3WjaWjtz
Christina Perri,The Twilight Saga: Breaking Dawn - Part 1,A Thousand Years,spotify:track:6z5Yh7kOKeLjqIsNdokIpU
CÃ©line Dion,Let's Talk About Love,Love Is On the Way,spotify:track:542daUuyOAbVEE9RtI1zgN
Billie Eilish,Happier Than Ever,Lost Cause,spotify:track:4191RXFPa7Ge9XkA4cWlna
Taylor Swift,folklore,this is me trying,spotify:track:7kt9e9LFSpN1zQtYEl19o1
Shawn Mendes,Shawn Mendes,Perfectly Wrong,spotify:track:6nat4Z7iRKWVk1qngQqI0Q
Taylor Swift,You All Over Me (feat. Maren Morris) (Taylorâ€™s Version) (From The Vault),You All Over Me (feat. Maren Morris) (Taylorâ€™s Version) (From The Vault),spotify:track:5pcjystBtalYeqaiXCcgEY
Alan Walker,Tired,Tired,spotify:track:3b5Li4QKDVBx1x7fQuu54a
Roger Bart,Hercules,Go The Distance (Reprise),spotify:track:0NvqetjXrzOkZpX2BSG9Qi
Taylor Swift,1989,Shake It Off,spotify:track:0cqRj7pUJDkTCEsJkx8snD
Taylor Swift,Taylor Swift,Teardrops On My Guitar - Radio Single Remix,spotify:track:7zMcNqs55Mxer82bvZFkpg
Alan Walker,Sorry,Sorry,spotify:track:65tQ1ZL4Q5uKsghVoj1O8o
Annie Lennox,Lord of the Rings 3 - The Return of the King,Into the West,spotify:track:0gSEyG7pOFuHM05433EibX
Justin Bieber,Purpose,I'll Show You,spotify:track:0SNIAtRCPVVLoGEPcuHSIc
Taylor Swift,Red,All Too Well,spotify:track:6GNRkaWUB0Lwc19SdkTgx8
Taylor Swift,1989,This Love,spotify:track:7lTxQZVXlvIX7Z3szSy8Sh
CÃ©line Dion,A New Day Has Come,I Surrender,spotify:track:67VjdDhTa5jzQxHGe6f26r
Kristen Bell,Frozen,"For the First Time in Forever - From ""Frozen""/Soundtrack Version",spotify:track:70b5Sq3ePOu3Gqg0hjlOtR
CÃ©line Dion,Let's Talk About Love,Where Is the Love,spotify:track:5IDjeYet2H8pc0p7EV2Hkz
Christophe Beck,Frozen 2,Introduction,spotify:track:3PYgUmM7AzwGG6Qfurk0TP
Taylor Swift,reputation,King Of My Heart,spotify:track:7HuBDWi18s4aJM8UFnNheH
Taylor Swift,Fearless (Taylor's Version),Untouchable (Taylorâ€™s Version),spotify:track:0tQ9vBYpldCuikPsbgOVKA
Justin Bieber,Anyone,Anyone,spotify:track:31qCy5ZaophVA81wtlwLc4
Taylor Swift,The Hunger Games: Songs From District 12 And Beyond,Safe & Sound - from The Hunger Games Soundtrack,spotify:track:0z9UVN8VBHJ9HdfYsOuuNf
Ryan Hurd,Chasing After You (with Maren Morris),Chasing After You (with Maren Morris),spotify:track:1ZIKpMTRPqhwAoVXWY3tXI
CÃ©line Dion,A New Day Has Come,A New Day Has Come,spotify:track:6LefIBy3hzTN6Yd1m81gpC
Richard White,Beauty and the Beast,"Belle - From ""Beauty and the Beast""/Soundtrack Version",spotify:track:0Q4a3PdGEME9w8Jgqa0Gf3
Taylor Swift,Fearless (Taylor's Version),White Horse (Taylorâ€™s Version),spotify:track:5YL553x8sHderRBDlm3NM3
Paige O'Hara,Beauty and the Beast,"Belle Reprise - From ""Beauty and the Beast""/Soundtrack Version",spotify:track:34XWBbHC4hsTBDDbIH8g4g
Justin Bieber,Purpose,Sorry,spotify:track:09CtPGIpYB4BrO8qb1RGsF
Camila Cabello,Camila,Real Friends,spotify:track:3iq9nhbI8fcnNamxMft1uv
Taylor Swift,Taylor Swift,Tim McGraw,spotify:track:2Fn01AIMyHbha2ceNQeOqw
Taylor Swift,Red,Come Back...Be Here,spotify:track:1n8rB9AhxiAvVP1E2c3yOd
Taylor Swift,Lover,Daylight,spotify:track:1fzAuUVbzlhZ1lJAx9PtY6
Alessia Cara,Moana,How Far I'll Go - Alessia Cara Version,spotify:track:1ehPJRt49h6N0LoryqKZXq
Taylor Swift,Speak Now,The Story Of Us,spotify:track:3lXekiVK1ZPZbKconsys73
Taylor Swift,1989,I Wish You Would,spotify:track:5RVJ6VKfwtosA5Q1qeHdjF
Ed Sheeran,x,Thinking out Loud,spotify:track:34gCuhDGsG4bRPIf9bb02f
Taylor Swift,folklore,invisible string,spotify:track:6VsvKPJ4xjVNKpI8VVZ3SV
Camila Cabello,Romance,My Oh My (feat. DaBaby),spotify:track:3yOlyBJuViE2YSGn3nVE1K
Alan Walker,Different World,Alone,spotify:track:3LlmKSHR3Rs0Y3KHQLAYDk
Phil Collins,Tarzan,You'll Be In My Heart,spotify:track:4Y8vb1uy9IjM2V1hqvrAid
Ed Sheeran,+,Drunk,spotify:track:4RnCPWlBsY7oUDdyruod7Y
Selena Gomez,Rare,Lose You To Love Me,spotify:track:4l0Mvzj72xxOpRrp6h8nHi
Maren Morris,GIRL,A Song for Everything,spotify:track:59C9WyONT72bKyaystIzjq
