Artist,Minutes Played
Taylor Swift,19419.250350000228
C̩line Dion,5278.134199999983
Ed Sheeran,3249.72759999999
Shawn Mendes,2141.9183500000117
Alan Walker,2025.8931000000089
Lady Gaga,1183.5929499999984
Maren Morris,1129.9224500000041
Camila Cabello,1067.438366666668
Dua Lipa,819.7880833333361
Christina Perri,666.4996999999996
Justin Bieber,565.6311999999995
Miranda Lambert,550.3630166666669
Lea Salonga,435.51445000000075
Mandy Moore,363.4542166666663
Harry Styles,320.0645499999999
Selena Gomez,291.62378333333317
Britney Spears,237.24981666666648
Idina Menzel,193.52195000000006
Tape Machines,191.67198333333317
Billie Eilish,179.0078166666666
Lata Mangeshkar,141.76831666666664
Susan Egan,109.6292666666666
Peabo Bryson,54.879000000000005
Phil Collins,20.164966666666665
Adele,18.755716666666668
Roger Bart,14.289916666666668
DJ Snake,13.6961
Naomi Scott,11.837683333333333
Evan Rachel Wood,11.454466666666669
Kishore Kumar,10.774166666666666
Auli'i Cravalho,10.32685
Mukesh,9.126766666666667
Bhupen Hazarika,9.094916666666666
Bon Iver,8.805683333333334
Big Red Machine,8.4822
Kristen Bell,6.4427
Alessia Cara,6.362900000000001
Mohammed Rafi,5.296316666666667
Julie Fowlis,5.046666666666667
